Country/territory,level,idf_reg,prev,inteval.prev,Diabetes national prevalence [%] [uncertainty range],adj.prev,inteval.adj,Diabetes age-adjusted comparative prevalence [%] [uncertainty range],cases,inteval.abs,"Adults with diabetes [20-79] in 1,000s [uncertainty range]",undiag,inteval.undiag,"Adults with undiagnosed diabetes [20-79] in 1,000s [uncertainty range]","Mean diabetes-related expenditure per person with diabetes [R=2, USD]","Mean diabetes-related expenditure per person with diabetes [R=2, International Dollar]",Diabetes related deaths [20-79],"Number of children with type 1 diabetes [0-14] in 1,000s",OGTT,DM data,"Basis of estimate [OGTT, extrapolation, other*]",,
Georgia,2,EUR,7.5, [5.0 - 13.9] , 7.50 ,6.4, [4.3 - 12.1] , 6.40 , 218.9 , [146.5 - 405.2] , 218.90 , 95.0 , [75.9 - 210.0] , 95.00 , 414.7 , 826.1 ," 2,799.6 ", 0.2 ,0,NO DATA,Extrapolation,,
Germany,2,EUR,10.6, [9.5 - 12.1] , 10.60 ,7.4, [6.4 - 8.6] , 7.40 ," 6,537.2 "," [5,886.8 - 7,462.4] "," 6,537.20 "," 2,498.2 "," [3,050.5 - 3,867.0] "," 2,498.20 "," 5,314.6 "," 5,107.9 "," 55,059.1 ", 15.8 ,1,SELECTED,OGTT,,
Greece,2,EUR,7.5, [6.1 - 15.8] , 7.50 ,5.2, [4.2 - 12.2] , 5.20 , 608.8 ," [495.1 - 1,285.7] ", 608.80 , 229.3 , [256.5 - 666.3] , 229.30 ," 2,425.4 "," 2,839.5 "," 4,936.3 ", 1.3 ,0,SELECTED,Other,,
Hungary,2,EUR,9.3, [7.0 - 16.9] , 9.30 ,7.3, [5.7 - 14.9] , 7.30 , 694.7 ," [525.5 - 1,262.0] ", 694.70 , 259.8 , [272.3 - 654.0] , 259.80 ," 1,208.0 "," 2,104.2 "," 9,139.8 ", 1.8 ,0,SELECTED,Other,,
Iceland,2,EUR,7.6, [5.7 - 9.5] , 7.60 ,6.1, [4.5 - 7.9] , 6.10 , 17.2 , [12.9 - 21.6] , 17.20 , 6.5 , [6.7 - 11.2] , 6.50 ," 5,259.1 "," 4,647.5 ", 105.1 , 0.1 ,0,NO DATA,Extrapolation,,
Ireland,2,EUR,5.3, [4.2 - 6.8] , 5.30 ,4.4, [3.4 - 6.0] , 4.40 , 171.8 , [135.8 - 222.9] , 171.80 , 64.8 , [70.4 - 115.5] , 64.80 ," 5,732.4 "," 5,237.1 "," 1,187.5 ", 1.8 ,0,SELECTED,Other,,
Israel,2,EUR,8.5, [6.8 - 14.3] , 8.50 ,7.5, [6.0 - 12.6] , 7.50 , 420.2 , [337.2 - 705.2] , 420.20 , 158.6 , [174.7 - 365.4] , 158.60 ," 3,546.9 "," 3,214.2 "," 2,805.9 ", 2.0 ,0,SELECTED,Other,,
Italy,2,EUR,7.9, [7.1 - 9.2] , 7.90 ,5.1, [4.6 - 6.2] , 5.10 ," 3,507.7 "," [3,185.8 - 4,103.3] "," 3,507.70 "," 1,324.3 "," [1,650.9 - 2,126.3] "," 1,324.30 "," 3,450.1 "," 3,418.6 "," 22,226.5 ", 6.8 ,1,SELECTED,OGTT,,
Kazakhstan,2,EUR,6.2, [4.2 - 11.8] , 6.20 ,6.4, [4.3 - 12.0] , 6.40 , 717.5 ," [484.2 - 1,362.3] ", 717.50 , 311.4 , [250.9 - 706.0] , 311.40 , 834.9 ," 1,473.1 "," 10,610.3 ", NO DATA ,0,NO DATA,Extrapolation,,
Kyrgyzstan,2,EUR,5.2, [3.7 - 10.4] , 5.20 ,6.3, [4.4 - 12.3] , 6.30 , 180.2 , [128.6 - 363.3] , 180.20 , 97.4 , [66.7 - 188.2] , 97.40 , 139.7 , 355.1 ," 2,560.3 ", NO DATA ,0,NO DATA,Extrapolation,,
